Family,Category,SuggestedName,Conflict,ProblemReasons
"Gate Valve - 2-12 Inch","Pipe Accessories","MHT-PL-PACC-Gate-Valve-2-12-Inch","",""
"Venturi Flow Meter - 6-48 Inch","Pipe Accessories","MHT-PL-PACC-Venturi-Flow-Meter-6-48-Inch","",""
"Pressure Regulating Valve - 0.5-2 Inch - Threaded","Pipe Accessories","MHT-PL-PACC-Pressure-Regulating-Valve-0-5-2-Inch-Threaded","",""
"Water Meter Unit","Pipe Accessories","MHT-PL-PACC-Water-Meter-Unit","",""
"Tee Double Sanitary - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Double-Sanitary-PVC-Sch-40-DWV","",""
"Tee Long Sweep Double Sanitary - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Long-Sweep-Double-Sanitary-PVC-Sch-40-DWV","",""
"Tee Reducing Double Sanitary - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Reducing-Double-Sanitary-PVC-Sch-40-DWV","",""
"Tee Reducing Double Vent - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-Reducing-Double-Vent-PVC-Sch-40-DWV","",""
"E1 30 x 42 Horizontal","Title Blocks","MHT-ME-FAM-E1-30-X-42-Horizontal","",""
"MopSinkConnection","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN15","",""
"Plumb_Floor Sink_TM","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND","",""
"ShowerConnection","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN7-UND","",""
"WaterClosetConnection","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN508","",""
"Cap - Vent Separation","Pipe Fittings","MHT-ME-FAM-Vent-Separation","",""
"BuildingConnection-Sanitary","Plumbing Equipment","MHT-PL-PEQ-Buildingconnection-Sanitary","",""
"Air Terminal-Vent Cap-FB","Air Terminals","MHT-ME-AT-EXHAUST-DN102","","missing_shape"
"Water Heater - Tankless","Plumbing Equipment","MHT-PL-PEQ-Water-Heater-Tankless","",""
"BuildingConnection-DomesticWater","Plumbing Equipment","MHT-PL-PEQ-Buildingconnection-Domesticwater","",""
"Plumbing Equipment Tag","Plumbing Equipment Tags","MHT-ME-FAM-Equipment-Tag-03","",""
"Roof Drain","Plumbing Fixtures","MHT-PL-PF-Roof-Drain","",""
"Pipe Size Tag","Pipe Tags","MHT-ME-FAM-Pipe-Size-Tag","",""
"E1 30 x 42 Horizontal_Snowdon","Title Blocks","MHT-ME-FAM-E1-30-X-42-Horizontal-Snowdon","",""
"E1 30 x 42 Cover_Snowdon","Title Blocks","MHT-ME-FAM-E1-30-X-42-Cover-Snowdon","",""
"Sheet Issue Label","Generic Annotations","MHT-ME-FAM-Sheet-Issue-Label","",""
"WasherConnection","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN7","",""
"Plain Recessed Lighting Fixture","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-UND","",""
